Country,ISO Code,Data source category,Reference date (dd/mm/yyyy),year,Average household size (number of members),Households by size 1 member,"
Households by size 2-3 members",Households by size 4-5 members,Households by size 6 or more members,Average number of household members of selected ages Under age 15 years among all households,One-person,Couple only,Couple with children,Single parent with children,Single mother with children,Single father with children,Extended family,Non-relatives,Unknown,Nuclear,Multi-generation,Three generation,Skip generation
France,250,IPUMS,7-Jan-1982,1982,2.71,24.65,47.22,23.53,4.59,0.61,24.65,23.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,250,IPUMS,7-Jan-1990,1990,2.57,27.13,47.31,22.33,3.23,0.53,27.13,23.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,250,IPUMS,7-Jan-1999,1999,2.4,30.98,47.34,19.3,2.38,0.46,30.98,24.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,250,LFS,7-Jan-2001,2001,2.35,31.39,48.14,18.51,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,250,IPUMS,7-Jan-2006,2006,2.31,32.84,47.62,17.6,1.94,0.44,32.84,25.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,250,IPUMS,7-Jan-2011,2011,2.26,34.1,47.43,16.73,1.75,0.43,34.1,25.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,250,LFS,7-Jan-2011,2011,2.25,34.37,47.1,16.97,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,250,DYB,7-Jan-2015,2015,2.22,35.46,46.84,16.08,1.62,NA,35.46,25.8,25.54,8.57,NA,NA,NA,NA,4.62,59.92,NA,NA,NA
French Guiana,254,DYB,7-Jan-2015,2015,3.45,22.61,37.76,23.15,16.47,NA,22.61,10.72,26.43,20.02,NA,NA,NA,NA,20.21,57.18,NA,NA,NA
French Polynesia,258,DYB,7-Jan-2007,2007,NA,13.18,38.82,30.18,17.82,NA,13.18,13.8,40.26,7.45,NA,NA,NA,NA,25.31,61.51,NA,NA,NA
Gabon,266,DHS,19/10/2000,2000,4.97,19.29,25.74,19.4,35.57,2.01,19.29,7.52,13.94,5.33,3.95,1.38,38.47,15.46,0.0,26.79,24.76,17.88,3.67
Gabon,266,DHS,3-Aug-2012,2012,4.1,22.42,28.48,22.5,26.6,1.62,22.42,7.31,19.52,8.63,6.98,1.64,38.83,3.27,0.02,35.45,21.71,15.06,3
Gambia,270,MICS,7-Jan-2005,2005,7.39,9.43,14.04,20.02,56.51,3.28,9.43,3.08,24.23,4.94,3.8,1.15,52.85,5.06,0.4,32.25,39.8,27.68,2.02
Gambia,270,MICS,7-Jan-2010,2010,8.09,9.31,12.67,17.73,60.3,3.6,9.31,2.48,22.62,4.36,3.57,0.79,53.5,5.35,2.38,29.46,43.73,32.03,1.49
Gambia,270,DHS,13/03/2013,2013,8.23,8.39,12.96,17.23,61.42,3.7,8.39,2.16,21.36,4.78,3.83,0.95,56.23,6.92,0.16,28.3,45.56,32.31,1.39
Gambia,270,MICS,7-Jan-2018,2018,8,9.11,12.8,17.96,60.14,3.59,9.11,2.11,20,5.86,5.06,0.8,52.16,10.68,0.09,27.97,42.32,30.83,1.5
Gambia,270,DHS,25/01/2020,2020,8.07,9.72,14.03,17.68,58.57,3.58,9.72,2.2,18.98,4.97,4.27,0.7,50.31,13.82,0.0,26.15,41.86,30.63,1
Georgia,268,DYB,7-Jan-2002,2002,3.52,16.3,34.54,35.51,13.64,NA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,268,MICS,7-Jan-2005,2005,3.64,14.72,33.04,35.76,16.48,0.67,14.72,10.31,29.83,8.27,7.04,1.23,36.63,0.24,0.0,48.4,53.7,28.61,0.76
Georgia,268,DYB,7-Jan-2014,2014,3.34,17.48,39.28,30.6,12.64,NA,17.48,10.25,25.67,11.22,NA,NA,NA,NA,35.38,47.14,NA,NA,NA
Georgia,268,MICS,7-Jan-2018,2018,3.42,14.97,40.74,30.02,14.27,0.68,14.97,12.28,22.68,8.85,7.28,1.57,40.5,0.72,0.0,43.81,51.8,27.93,1.49
Germany,276,LFS,7-Jan-2005,2005,2.12,37.06,48.26,13.78,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,276,DYB,7-Jan-2011,2011,2.14,37.27,48.09,13.21,1.43,NA,37.27,28.39,23.32,7.33,NA,NA,NA,NA,3.69,59.04,NA,NA,NA
Germany,276,LFS,7-Jan-2011,2011,2.05,39.53,47,12.71,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,288,IPUMS,7-Jan-1984,1984,5.01,18.67,23.62,22.06,35.65,2.28,18.67,3.13,20.32,13.62,10.39,3.23,NA,NA,NA,37.07,25.76,17.17,3.42
Ghana,288,DHS,12-Mar-1993,1993,3.77,24.32,27.93,25.55,22.2,1.8,24.32,3.37,23.94,19.38,16.8,2.58,25.95,3.04,0.0,46.69,12.59,8.12,4.68
Ghana,288,DHS,1-Mar-1999,1999,3.61,26.13,28.4,24.57,20.89,1.56,26.13,4.08,24.57,16.72,14.47,2.25,26.41,2.08,0.0,45.37,16.7,10.4,4.95
Ghana,288,IPUMS,7-Jan-2000,2000,5.08,12.59,23.83,24.62,38.96,2.1,12.59,2.81,16.15,8.91,6.98,1.93,50.21,9.34,0.0,27.86,25.73,13.41,3.49
Ghana,288,DHS,23/09/2003,2003,4.03,20.76,26.25,27.56,25.43,1.76,20.76,3.48,26.4,13.58,11.47,2.11,32.81,2.91,0.07,43.46,20.79,13.24,5.14
Ghana,288,MICS,7-Jan-2006,2006,4.2,17.79,26.24,28.56,27.42,1.7,17.79,3.48,30.82,11.83,9.53,2.3,32.96,3.01,0.11,46.13,24.47,13.72,4.69
Ghana,288,DHS,16/10/2008,2008,3.75,21.93,30.39,26.22,21.47,1.52,21.93,4.65,27.13,14.49,11.56,2.93,29.66,2.15,0.0,46.26,21.29,11.06,4.68
Ghana,288,DYB,7-Jan-2010,2010,4.4,17.57,27.24,25.76,29.43,NA,17.57,3.81,24.46,12.94,NA,NA,NA,NA,41.22,41.21,NA,NA,NA
Ghana,288,IPUMS,7-Jan-2010,2010,4.41,17.57,27.19,25.82,29.42,1.7,17.57,3.85,24.39,12.91,10.25,2.66,36.12,5.16,0.0,41.15,27.39,13.94,3.4
Ghana,288,MICS,7-Jan-2011,2011,3.87,20.32,29.88,26.72,23.07,1.62,20.32,4.38,30.5,13.15,10.59,2.56,28.29,3.35,0.0,48.03,20.17,11.31,5.39
Ghana,288,DHS,22/10/2014,2014,3.49,25.88,30.34,25.3,18.48,1.43,25.88,5.53,27.15,13.89,11.9,1.99,25.31,2.24,0.0,46.57,17.58,9.69,4.92
Ghana,288,MICS,7-Jan-2017,2017,4.7,11.01,25.1,30.71,33.18,2.11,11.01,3.15,30.48,14.99,12.08,2.91,37.98,2.37,0.02,48.62,30.16,19.21,5.21
Ghana,288,DHS,18/10/2019,2019,3.83,21.48,29.52,27.1,21.9,1.53,21.48,3.35,24.74,13.45,10.97,2.48,34.39,2.55,0.03,41.55,25.17,16.13,4.66
Greece,300,IPUMS,7-Jan-1971,1971,3.39,11.26,42.86,36.44,9.44,0.85,11.26,14.84,41.25,5.64,4.71,0.94,24.09,0.87,2.05,61.73,31.49,14.23,1.21
Greece,300,IPUMS,7-Jan-1981,1981,3.14,14.16,45.07,34.48,6.29,0.74,14.16,18.77,43.44,4.55,3.69,0.87,18.02,1.06,0.00,66.76,26.97,10.65,0.5
Greece,300,IPUMS,7-Jan-1991,1991,2.97,16.34,47.26,31.69,4.71,0.57,16.34,20.11,42.42,5.37,4.36,1.01,14.68,1.08,0.00,67.9,29.26,7.99,0.38
Greece,300,DYB,7-Jan-2001,2001,2.8,19.75,49.14,27.3,3.81,NA,19.75,20.32,37.71,7.53,NA,NA,NA,NA,14.69,65.56,NA,NA,NA
Greece,300,IPUMS,7-Jan-2001,2001,2.8,19.83,49.15,27.18,3.85,0.43,19.83,20.36,37.73,6.65,5.53,1.11,12.04,3.4,0.0,64.73,30.77,5.88,0.41
Greece,300,LFS,7-Jan-2001,2001,2.64,22.66,49.07,26.11,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,300,IPUMS,7-Jan-2011,2011,2.56,25.74,49.16,22.64,2.46,0.38,25.74,20.75,33.72,8.15,7.02,1.13,NA,NA,NA,62.61,NA,NA,NA
Greece,300,LFS,7-Jan-2011,2011,2.44,27.48,49.84,21.26,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guadeloupe,312,DYB,7-Jan-2015,2015,2.3,34.52,47.03,16.42,2.03,NA,34.52,14.99,20.41,21.17,NA,NA,NA,NA,8.92,56.56,NA,NA,NA
Guatemala,320,IPUMS,7-Jan-1964,1964,5.23,5.49,22.06,30.04,42.41,2.4,5.49,4.68,46.01,8.92,6.9,2.02,26.08,8.82,0.0,59.61,26.9,15.49,1.8
Guatemala,320,IPUMS,7-Jan-1973,1973,4.99,4.73,26.14,30.98,38.15,2.25,4.73,6.69,49.07,9.1,6.92,2.18,22.47,7.48,0.46,64.86,25.33,13.12,1.74
Guatemala,320,IPUMS,7-Jan-1981,1981,5.2,3.89,22.37,32.25,41.49,2.33,3.89,5.34,52.79,7.38,6.06,1.32,25.25,5.18,0.16,65.51,27.57,13.92,1.59
Guatemala,320,IPUMS,7-Jan-1994,1994,5.21,4.15,22.27,32.74,40.84,2.3,4.15,5.15,49.1,8.03,6.7,1.33,25.93,7.66,0.0,62.27,29.15,14.92,1.68
Guatemala,320,DHS,9-Dec-1995,1995,5.26,3.8,21.11,33.88,41.21,2.33,3.8,5.23,46.82,9.73,8.08,1.65,27.24,7.09,0.08,61.79,32.79,20.02,2.04
Guatemala,320,DHS,2-Jul-1999,1999,5.28,4.1,23.43,32.07,40.4,2.3,4.1,4.95,47.79,9.18,8.3,0.89,28.23,5.74,0.01,61.92,33.58,19.24,1.94
Guatemala,320,IPUMS,7-Jan-2002,2002,5.08,4.87,23.62,33.51,37.99,2.15,4.87,5.31,48.05,9.77,7.96,1.8,27.07,4.92,0.0,63.13,34.25,19.4,1.84
Guatemala,320,DHS,26/02/2015,2015,4.81,4.33,26.57,37.51,31.6,1.8,4.33,5.28,42.84,12.58,11.4,1.18,30.78,4.19,0.0,60.7,38.7,22.7,2.18
Guinea,324,IPUMS,7-Jan-1983,1983,6.23,5.71,22.94,25.21,46.15,2.61,5.71,5.88,23.38,5.45,4.47,0.97,48.64,10.75,0.19,34.71,NA,NA,NA
Guinea,324,IPUMS,7-Jan-1996,1996,6.78,5.88,18.21,23.25,52.67,3.07,5.88,3.66,19.44,5.48,4.59,0.89,51.89,11.72,1.94,28.58,28.23,18.95,2.77
Guinea,324,DHS,6-Jun-1999,1999,6.62,4.64,16.07,24.84,54.45,3.18,4.64,3.55,27.6,4.65,3.46,1.19,54.7,4.58,0.27,35.81,32.6,23.2,2.73
Guinea,324,DHS,15/04/2005,2005,6.09,5.4,18.21,26.49,49.89,2.91,5.4,3.41,30.32,5.2,4.45,0.75,53.53,2.09,0.04,38.94,28.62,20.48,3.38
Guinea,324,DHS,8-Jun-2012,2012,6.25,4.53,16.91,27.52,51.04,2.99,4.53,3.26,28.75,5.42,4.19,1.22,53.84,4.17,0.02,37.43,32.33,24.35,3.74
Guinea,324,IPUMS,7-Jan-2014,2014,7.15,4.77,16.46,22.76,56.01,3.21,4.77,3.29,21.6,5.53,4.61,0.92,61.75,3.06,0.0,30.42,34.31,19.36,2.1
Guinea,324,MICS,7-Jan-2016,2016,5.95,4.8,18.95,28.86,47.39,2.74,4.8,3.67,33.75,5.97,5.18,0.79,49.31,2.48,0.02,43.39,28.44,18.67,3.2
Guinea,324,DHS,8-Nov-2021,2021,6.39,5.07,16.58,26.03,52.32,2.95,5.07,3.95,26.19,4.41,3.79,0.63,56.46,3.91,0.0,34.56,34.98,26.64,2.94
Guinea-Bissau,624,MICS,7-Jan-2000,2000,8.01,0.19,4.01,19.68,76.12,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,624,MICS,7-Jan-2006,2006,7.79,0.35,7.93,22.55,69.17,3.46,0.35,1.06,21.81,2.42,2.11,0.32,69.72,4.02,0.62,25.29,42.66,28.98,1.49
Guinea-Bissau,624,MICS,7-Jan-2014,2014,7.26,3.21,13.47,21.97,61.36,3.17,3.21,1.71,17.36,4.31,3.15,1.16,69.19,1.52,0.01,23.38,40.91,31.64,2.83
Guinea-Bissau,624,MICS,7-Jan-2018,2018,6.81,4.14,14.29,25.22,56.35,2.94,4.14,1.73,19.83,4.76,3.34,1.42,67.8,1.72,0.03,26.32,42.16,30.54,2.91
Guyana,328,MICS,7-Jan-2000,2000,4.18,9.41,30.52,37.17,22.9,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guyana,328,DHS,31/07/2005,2005,4.16,9.7,32.67,35,22.63,1.41,9.7,8.36,36.64,9.71,8.36,1.35,33.07,2.32,0.19,54.72,34.85,17.35,4.23
Guyana,328,MICS,7-Jan-2006,2006,4.05,12.1,31.99,34.1,21.81,1.44,12.1,8.51,40.43,9.47,7.65,1.82,28.21,1.1,0.18,58.41,29.99,15.57,2.75
Guyana,328,DHS,20/05/2009,2009,3.8,12.87,36.69,32.09,18.35,1.26,12.87,9.73,33.34,11.64,9.95,1.69,30.27,2.11,0.04,54.71,30.6,15.76,3.55
Guyana,328,MICS,7-Jan-2014,2014,3.81,12.69,36.4,32.81,18.09,1.11,12.69,10.01,34.92,11.47,9.48,1.99,29.09,1.79,0.04,56.39,35.36,16.43,4.31
Guyana,328,MICS,7-Jan-2019,2019,3.5,15.8,39.66,29.12,15.42,0.94,15.8,11.35,31.38,11.92,9.71,2.21,28.75,0.78,0.02,54.64,35.14,15.84,3.64
Haiti,332,IPUMS,7-Jan-1971,1971,4.6,9.35,28.99,29.22,32.43,1.9,9.35,5.01,28.74,11.6,9.04,2.55,30.9,14.2,0.19,45.35,NA,NA,NA
Haiti,332,DHS,10-Jan-1994,1994,5.02,8.07,24.53,28.53,38.87,2.1,8.07,4.27,24.28,8.69,6.64,2.05,37.02,17.65,0.02,37.24,29.24,17.56,4.23
Haiti,332,DHS,30/04/2000,2000,4.69,8.2,27.84,29.97,33.99,1.96,8.2,4.19,25.68,11.28,8.8,2.48,35.28,15.37,0.0,41.15,27.43,16.04,4.64
Haiti,332,IPUMS,7-Jan-2003,2003,4.68,8.82,27.87,29.58,33.73,1.71,8.82,5.15,25.81,10.82,8.45,2.37,39.79,9.62,0.0,41.77,31.66,15.09,3.81
Haiti,332,DHS,2-Mar-2006,2006,4.61,8.62,28.36,30.61,32.42,1.84,8.62,4.14,24.37,12.13,9.7,2.44,40.68,10.06,0.0,40.64,29.7,17.26,4.28
Haiti,332,DHS,4-Jun-2012,2012,4.43,9.89,29.62,31.3,29.19,1.59,9.89,4.56,23.55,10.88,8.34,2.54,42.34,8.76,0.03,38.99,29.7,17.5,4.04
Haiti,332,DHS,26/01/2017,2017,4.29,9.43,31.1,32.93,26.54,1.52,9.43,4.66,23.41,12.68,10.29,2.39,43.51,6.31,0.0,40.75,31.58,18.14,4.46
Honduras,340,IPUMS,7-Jan-1974,1974,5.67,4.49,19.54,27.71,48.26,2.74,4.49,4.1,41.66,9.1,7.88,1.22,29.31,11.33,0.0,54.86,27.32,17.76,2.48
Honduras,340,IPUMS,7-Jan-1988,1988,5.52,4.73,19.42,29.85,46.01,2.59,4.73,3.86,43.23,8.85,7.46,1.38,32.24,7.11,0.0,55.93,29.01,18.32,2.46
Honduras,340,IPUMS,7-Jan-2001,2001,5,5.33,24.14,34.13,36.4,2.11,5.33,4.5,40.67,9.84,8.13,1.71,33.19,6.48,0.0,55,30.7,17.98,2.67
Honduras,340,DHS,2-Jul-2006,2006,4.8,5.52,25.93,35.54,33.01,1.95,5.52,4.7,40.01,10.52,9.13,1.39,31.08,8.15,0.01,55.23,32.36,20.57,3.15
Honduras,340,DHS,21/02/2012,2012,4.47,6.69,29.43,36.81,27.07,1.59,6.69,5.16,35.15,10.65,8.79,1.87,33.4,8.94,0.01,50.96,34.96,21.92,3.22
Honduras,340,MICS,7-Jan-2019,2019,3.87,10.37,35.85,35.97,17.81,1.25,10.37,6.73,35.38,13.08,11.22,1.85,30.26,4.18,0.0,55.19,34.5,18.79,3.52
Hungary,348,IPUMS,7-Jan-1970,1970,3.29,10.74,48.96,31.76,8.54,0.7,10.74,18.13,35.62,5.34,4.62,0.71,2.14,0,28.04,59.09,NA,NA,NA
Hungary,348,IPUMS,7-Jan-1980,1980,2.79,19.85,50.11,26.33,3.71,0.61,19.85,20.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,348,IPUMS,7-Jan-1990,1990,2.6,24.45,49.51,23.7,2.33,0.54,24.45,19.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,348,DYB,7-Jan-2001,2001,2.57,26.25,48.51,22.37,2.87,NA,26.25,20.84,31.22,9.3,NA,NA,NA,NA,12.4,61.36,NA,NA,NA
Hungary,348,IPUMS,7-Jan-2001,2001,2.57,26.32,48.32,22.5,2.86,0.43,26.32,20.14,31.86,9.75,8.5,1.25,NA,NA,NA,61.75,NA,NA,NA
Hungary,348,LFS,7-Jan-2001,2001,2.62,24.11,49.14,24.01,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,348,DYB,7-Jan-2011,2011,2.36,32.08,48.54,17.25,2.13,NA,32.08,19.85,26.74,11.05,NA,NA,NA,NA,10.27,57.64,NA,NA,NA
Hungary,348,IPUMS,7-Jan-2011,2011,2.36,32.23,48.31,17.39,2.06,0.35,32.23,19.2,26.51,10.78,9.35,1.42,NA,NA,0.00,56.49,NA,NA,NA
Hungary,348,LFS,7-Jan-2011,2011,2.6,23.63,50.92,22.72,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,356,IPUMS,7-Jan-1983,1983,5.09,7.82,20.58,32.33,39.27,2.03,7.82,5.54,40.15,5.43,4.1,1.33,39,1.61,0.45,51.12,39.12,23.98,0.65
India,356,IPUMS,7-Jan-1987,1987,5,7.24,21.12,34.44,37.2,1.93,7.24,6,42.42,5.39,4.2,1.19,37.63,1.13,0.19,53.81,39.21,23.91,0.64
India,356,DHS,12-Mar-1992,1992,5.7,3.18,18.08,33.1,45.64,2.15,3.18,4.27,36.48,4.59,3.04,1.55,49.73,1.67,0.08,45.34,49.07,33.58,0.84
India,356,IPUMS,7-Jan-1993,1993,4.78,6.95,22.58,37.5,32.98,1.73,6.95,6.9,45.33,5.09,4.05,1.04,34.84,0.71,0.19,57.32,38.42,22.58,0.66
India,356,IPUMS,7-Jan-1999,1999,4.87,6.56,21.64,38.51,33.29,1.74,6.56,6.3,46.4,5.25,4.24,1.02,34.66,0.62,0.21,57.95,39.72,23.48,0.62
India,356,DHS,21/09/1999,1999,5.43,3.44,19.59,36.18,40.79,1.95,3.44,4.88,38.88,4.76,3.3,1.46,46.96,1.06,0.03,48.51,47.77,32.02,0.93
India,356,DYB,7-Jan-2001,2001,5.29,3.93,19.9,37.83,38.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,356,IPUMS,7-Jan-2004,2004,4.69,6.92,23.56,39.36,30.16,1.58,6.92,7.2,45.7,5.69,4.71,0.97,34.07,0.42,0.0,58.59,40.77,24.11,0.59
India,356,DHS,20/04/2006,2006,4.84,5.49,24.98,37.22,32.32,1.69,5.49,6.82,38.09,6.46,5.03,1.43,37.93,5.2,0.02,51.37,43.41,28.12,1.18
India,356,IPUMS,7-Jan-2009,2009,4.42,7.66,26.01,40.85,25.47,1.35,7.66,8.68,46.68,5.42,4.53,0.89,31.22,0.26,0.08,60.78,40.23,22.26,0.53
India,356,DHS,28/12/2015,2015,4.57,4.11,27.31,41.64,26.94,1.3,4.11,8.03,41.49,6.26,5.37,0.89,37.14,2.97,0.0,55.78,50.25,29.39,0.97
India,356,DHS,23/05/2020,2020,4.38,5.11,30.31,40.37,24.21,1.16,5.11,9.11,37.01,7.22,6.08,1.14,39.17,2.36,0.01,53.35,51.28,30.15,1.04
Indonesia,360,IPUMS,7-Jan-1971,1971,4.84,4.67,27.42,32.31,35.6,2.16,4.67,6.9,46.94,7.7,6.45,1.25,27.36,4.08,2.35,61.54,26.13,14.33,2.23
Indonesia,360,IPUMS,7-Jan-1976,1976,4.9,4.67,26.89,31.82,36.63,2.09,4.67,7.08,49.73,7.03,6.07,0.96,28.69,2.8,0.0,63.85,28.81,15.7,2.16
Indonesia,360,IPUMS,7-Jan-1980,1980,4.82,4.64,27.87,32.57,34.92,1.98,4.64,7.49,48.71,6.32,5.43,0.89,28.86,3.98,0.0,62.52,29.58,16.03,2.08
Indonesia,360,IPUMS,7-Jan-1985,1985,4.68,4.88,28.14,34.8,32.18,1.84,4.88,7.44,52.4,5.93,4.97,0.96,26.37,2.98,0.0,65.77,29.13,14.91,1.91
Indonesia,360,IPUMS,7-Jan-1990,1990,4.48,5.42,30.22,36.1,28.26,1.63,5.42,7.83,51.35,5.91,4.89,1.02,25.79,3.7,0.0,65.09,29.47,14.52,1.93
Indonesia,360,DHS,28/06/1991,1991,4.63,4.74,27.31,37.75,30.19,1.68,4.74,6.98,52.43,5.24,4.28,0.96,27.33,3.26,0.02,64.65,32.2,16.28,2.06
Indonesia,360,DHS,15/09/1994,1994,4.47,5.53,28.45,39.3,26.72,1.57,5.53,6.89,50.97,5.08,4.2,0.88,28.19,3.31,0.01,62.95,32.05,16.69,2.32
Indonesia,360,IPUMS,7-Jan-1995,1995,4.23,5.7,32.47,39.25,22.59,1.41,5.7,8.22,55.35,5.51,4.56,0.95,22.69,2.54,0.0,69.07,29.78,13.02,1.88
Indonesia,360,DHS,31/10/1997,1997,4.31,4.83,31.71,39.98,23.49,1.44,4.83,7.94,53.08,5.02,4.14,0.88,26.36,2.77,0.0,66.04,31.32,16.2,2.22
Indonesia,360,IPUMS,7-Jan-2000,2000,3.94,6.68,37.24,38.5,17.58,1.2,6.68,9.86,54.6,6.34,4.79,1.55,NA,NA,NA,70.81,NA,NA,NA
Indonesia,360,MICS,7-Jan-2000,2000,4.1,5.1,33.78,41.78,19.34,1.26,5.1,8.54,56.97,5.67,4.65,1.02,22.04,1.68,0.0,71.18,NA,NA,NA
Indonesia,360,DHS,15/01/2003,2003,4.32,5.14,30.39,41.54,22.92,1.36,5.14,7.43,51.37,4.39,3.13,1.26,29.65,2.01,0.01,63.19,35.59,18.79,1.83
Indonesia,360,IPUMS,7-Jan-2005,2005,3.95,6.03,35.86,41.82,16.29,1.15,6.03,9.12,56.4,6.05,4.69,1.35,20.78,1.62,0.0,71.57,32.64,11.83,1.54
Indonesia,360,DHS,18/09/2007,2007,4.1,5.87,33.98,40.59,19.56,1.24,5.87,8.77,46.7,5.38,4.08,1.31,31.1,2.14,0.03,60.85,36.28,19.34,2.25
Indonesia,360,IPUMS,7-Jan-2010,2010,3.85,8.26,36.89,39.5,15.35,1.11,8.26,9.06,49.9,6.06,4.62,1.44,24.57,2.16,0.0,65.02,31.73,14.27,1.76
Indonesia,360,DHS,30/06/2012,2012,3.99,6.96,35.17,40.6,17.27,1.18,6.96,8.01,44.04,5.96,4.14,1.82,32.6,2.36,0.05,58.02,36.53,20.67,2.47
Indonesia,360,DHS,15/08/2017,2017,3.86,7.1,36.62,41.5,14.78,1.07,7.1,9.45,45.66,5.64,4.03,1.61,30.53,1.61,0.01,60.75,37.77,20.24,2.27
Iran (Islamic Republic of),364,DYB,7-Jan-1996,1996,4.76,4.42,27.28,34.34,33.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iran (Islamic Republic of),364,DYB,7-Jan-2006,2006,NA,5.2,38.17,39.68,16.95,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iran (Islamic Republic of),364,IPUMS,7-Jan-2006,2006,4.05,4.8,37.04,39.62,18.55,1.07,4.8,12.12,66.17,5.29,4.73,0.56,10.14,0.12,1.37,83.57,33.03,5.49,0.21
Iran (Islamic Republic of),364,DYB,7-Jan-2011,2011,3.51,7.16,45.49,38.87,8.48,NA,7.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iran (Islamic Republic of),364,IPUMS,7-Jan-2011,2011,3.49,7.2,45.58,38.74,8.48,0.83,7.2,14.65,64.7,7,5.99,1.01,6.17,0.1,0.18,86.35,30.91,3.03,0.16
Iran (Islamic Republic of),364,DYB,7-Jan-2016,2016,NA,8.48,49.13,37.86,4.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iraq,368,IPUMS,7-Jan-1997,1997,7.7,1.23,10.21,20.83,67.74,3.4,1.23,2.66,50.46,5.45,4.68,0.77,36.68,0.36,3.17,58.57,47.94,23.71,0.15
Iraq,368,MICS,7-Jan-2000,2000,7.22,1.15,11.09,21.69,66.06,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iraq,368,MICS,7-Jan-2006,2006,6.31,1.33,16.42,25.56,56.69,2.57,1.33,5.21,60.68,5.95,5.32,0.62,26.62,0.22,0.0,71.84,42.7,16.92,0.12
Iraq,368,MICS,7-Jan-2011,2011,6.46,1.17,13.53,28.52,56.77,2.65,1.17,4.14,58.22,5.09,4.6,0.49,31.24,0.12,0.01,67.45,44.82,22.07,0.17
Iraq,368,MICS,7-Jan-2018,2018,6.35,1.01,12.7,28.81,57.48,2.56,1.01,3.39,59.16,4.34,3.96,0.38,31.91,0.19,0.0,66.89,45.23,22.81,0.14
Ireland,372,IPUMS,7-Jan-1971,1971,3.93,14.28,36.49,25.5,23.73,1.27,14.28,10.07,40.31,8.69,6.73,1.96,NA,NA,NA,59.07,NA,NA,NA
Ireland,372,IPUMS,7-Jan-1979,1979,3.75,16.24,35.44,27.68,20.64,1.17,16.24,11.1,43.75,7.78,6.16,1.62,NA,NA,NA,62.63,NA,NA,NA
Ireland,372,IPUMS,7-Jan-1981,1981,3.66,17.11,35.19,28.22,19.47,1.14,17.11,11.09,43.74,7.67,6.11,1.55,NA,NA,NA,62.49,NA,NA,NA
Ireland,372,IPUMS,7-Jan-1986,1986,3.55,18.37,34.83,29.25,17.56,1.05,18.37,11.02,43.9,8.18,6.68,1.5,NA,NA,NA,63.09,NA,NA,NA
Ireland,372,IPUMS,7-Jan-1991,1991,3.35,20.08,36.6,29.26,14.06,0.91,20.08,11.8,41.73,8.52,7.04,1.48,9.25,7.16,1.46,62.05,23.25,3.59,0.17
Ireland,372,DYB,7-Jan-1996,1996,3.14,21.53,38.87,28.92,10.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,372,IPUMS,7-Jan-1996,1996,3.15,21.28,39.03,29.01,10.68,0.76,21.28,13.78,41.01,9.64,8.06,1.58,9.34,4.95,0.0,64.43,NA,NA,NA
Ireland,372,DYB,7-Jan-2002,2002,2.94,21.55,43.59,27.81,7.05,NA,21.55,16.42,38,10.19,NA,NA,NA,NA,13.84,64.6,NA,NA,NA
Ireland,372,IPUMS,7-Jan-2002,2002,3.09,19.85,41.73,29.54,8.89,0.65,19.85,15.45,38.23,9.23,7.82,1.41,10.17,7.08,0.0,62.9,NA,NA,NA
